Date,Open,High,Low,Close,Adj Close,Volume
2010-02-11,5150.080078,5200.000000,4883.839844,4926.720215,4909.145996,800
2010-02-12,5073.279785,5077.120117,4860.799805,4885.759766,4868.331055,800
2010-02-16,4779.520020,4859.520020,4697.600098,4712.319824,4695.509766,700
2010-02-17,4649.600098,4719.359863,4626.560059,4640.000000,4623.448242,700
2010-02-18,4634.240234,4656.000000,4515.200195,4528.640137,4512.485840,600
2010-02-19,4569.600098,4606.720215,4480.000000,4540.799805,4524.602051,700
2010-02-22,4491.520020,4619.520020,4488.319824,4568.959961,4552.661621,400
2010-02-23,4578.560059,4802.560059,4577.919922,4752.640137,4735.686523,800
2010-02-24,4670.720215,4691.839844,4547.839844,4604.160156,4587.735840,1000
2010-02-25,4749.439941,4838.399902,4572.160156,4572.160156,4555.850586,800
2010-02-26,4608.000000,4652.160156,4531.839844,4547.200195,4530.979492,700
2010-03-01,4494.080078,4497.279785,4332.799805,4346.879883,4331.373535,800
2010-03-02,4307.200195,4339.839844,4235.520020,4313.600098,4298.212891,300
2010-03-03,4298.240234,4346.240234,4240.000000,4313.600098,4298.212891,400
2010-03-04,4289.919922,4349.439941,4244.479980,4259.839844,4244.644043,700
2010-03-05,4153.600098,4181.759766,4049.919922,4071.040039,4056.517822,900
2010-03-08,4044.159912,4051.840088,4012.800049,4037.760010,4023.356689,400
2010-03-09,4072.959961,4072.959961,3904.000000,3968.000000,3953.845459,1200
2010-03-10,3932.800049,3939.840088,3847.040039,3872.639893,3858.825439,800
2010-03-11,3896.320068,3916.800049,3832.320068,3834.879883,3821.200195,1000
2010-03-12,3786.239990,3864.959961,3786.239990,3829.120117,3815.460938,800
2010-03-15,3855.360107,3928.959961,3825.919922,3852.159912,3838.418457,800
2010-03-16,3818.239990,3849.600098,3764.479980,3777.919922,3764.443359,700
2010-03-17,3765.120117,3776.000000,3697.280029,3760.000000,3746.587158,1100
2010-03-18,3738.239990,3763.199951,3699.840088,3715.199951,3701.947021,900
2010-03-19,3782.399902,3815.040039,3672.320068,3782.399902,3768.907471,1300
2010-03-22,3817.600098,3833.600098,3629.439941,3676.159912,3663.046387,2200
2010-03-23,3656.959961,3701.120117,3590.399902,3603.199951,3590.346680,1600
2010-03-24,3621.120117,3672.959961,3616.639893,3641.600098,3628.609863,1900
2010-03-25,3563.520020,3676.159912,3520.000000,3671.679932,3658.582275,2000
2010-03-26,3623.040039,3710.080078,3579.520020,3649.280029,3636.262451,1400
2010-03-29,3599.360107,3628.159912,3569.919922,3601.919922,3589.071045,1100
2010-03-30,3570.560059,3628.800049,3536.000000,3566.719971,3553.996582,800
2010-03-31,3605.120117,3633.280029,3555.199951,3605.760010,3592.897705,1600
2010-04-01,3572.479980,3694.719971,3502.080078,3613.439941,3600.550293,1300
2010-04-05,3596.159912,3617.280029,3491.199951,3513.600098,3501.066406,1700
2010-04-06,3540.479980,3555.199951,3454.080078,3485.439941,3473.006836,1400
2010-04-07,3510.399902,3562.879883,3462.399902,3503.360107,3490.863037,1700
2010-04-08,3539.840088,3588.479980,3471.360107,3491.199951,3478.746338,1000
2010-04-09,3478.399902,3505.280029,3419.520020,3425.280029,3413.061279,1100
2010-04-12,3415.679932,3434.239990,3388.159912,3414.399902,3402.219971,1200
2010-04-13,3425.919922,3444.479980,3356.159912,3360.639893,3348.651855,2100
2010-04-14,3308.800049,3321.600098,3241.600098,3243.520020,3231.949951,2200
2010-04-15,3243.520020,3243.520020,3191.679932,3203.840088,3192.411377,1900
2010-04-16,3233.919922,3372.800049,3200.639893,3304.959961,3293.170410,4000
2010-04-19,3349.760010,3437.439941,3292.159912,3319.040039,3307.200195,3800
2010-04-20,3264.000000,3330.560059,3245.439941,3274.239990,3262.560059,2100
2010-04-21,3203.199951,3265.919922,3182.080078,3208.959961,3197.512939,2400
2010-04-22,3304.320068,3354.879883,3149.439941,3159.040039,3147.771240,4800
2010-04-23,3162.239990,3191.040039,3111.040039,3120.639893,3109.507813,1700
2010-04-26,3112.320068,3153.919922,3093.120117,3141.760010,3130.552734,2100
2010-04-27,3174.399902,3361.919922,3136.000000,3334.399902,3322.505371,4400
2010-04-28,3280.000000,3406.719971,3280.000000,3329.280029,3317.403809,8000
2010-04-29,3283.199951,3283.199951,3139.840088,3157.120117,3145.858154,4300
2010-04-30,3162.239990,3350.399902,3146.879883,3344.000000,3332.071533,4100
2010-05-03,3303.040039,3304.959961,3155.199951,3201.919922,3190.498047,3700
2010-05-04,3321.600098,3554.560059,3320.320068,3491.840088,3479.384033,7100
2010-05-05,3588.479980,3657.600098,3475.199951,3538.560059,3525.937256,7500
2010-05-06,3611.520020,4826.240234,3043.199951,3898.879883,3884.971924,11600
2010-05-07,3987.199951,4419.200195,3839.360107,4154.240234,4139.421387,11800
2010-05-10,3642.879883,3665.919922,3536.000000,3550.719971,3538.053955,8700
2010-05-11,3640.959961,3667.199951,3405.439941,3546.879883,3534.227539,6200
2010-05-12,3497.600098,3508.479980,3340.800049,3353.600098,3341.637207,4400
2010-05-13,3393.280029,3527.679932,3314.560059,3509.120117,3496.602295,4100
2010-05-14,3589.120117,3831.040039,3587.199951,3709.439941,3696.207764,6500
2010-05-17,3682.560059,3911.040039,3633.280029,3681.280029,3668.148193,4400
2010-05-18,3584.000000,3871.360107,3560.959961,3824.639893,3810.996582,4400
2010-05-19,3866.879883,4042.879883,3777.919922,3916.159912,3902.190186,8900
2010-05-20,4133.120117,4375.040039,4115.839844,4298.879883,4283.544922,9700
2010-05-21,4558.080078,4606.080078,4111.359863,4251.520020,4236.354004,11900
